Codi_districte,Nom_districte,Lloc_de_procedencia,Nombre
7,Horta-Guinardó,Extremadura,1
7,Horta-Guinardó,Extremadura,8
7,Horta-Guinardó,Extremadura,0
7,Horta-Guinardó,Extremadura,1
7,Horta-Guinardó,Extremadura,0
7,Horta-Guinardó,Extremadura,1
7,Horta-Guinardó,Extremadura,1
7,Horta-Guinardó,Extremadura,1
7,Horta-Guinardó,Extremadura,0
7,Horta-Guinardó,Extremadura,4
7,Horta-Guinardó,Galicia,6
7,Horta-Guinardó,Galicia,3
7,Horta-Guinardó,Galicia,8
7,Horta-Guinardó,Galicia,3
7,Horta-Guinardó,Galicia,15
7,Horta-Guinardó,Galicia,4
7,Horta-Guinardó,Galicia,5
7,Horta-Guinardó,Galicia,3
7,Horta-Guinardó,Galicia,0
7,Horta-Guinardó,Galicia,0
7,Horta-Guinardó,Galicia,8
7,Horta-Guinardó,Comunitat de Madrid,37
7,Horta-Guinardó,Comunitat de Madrid,16
7,Horta-Guinardó,Comunitat de Madrid,42
7,Horta-Guinardó,Comunitat de Madrid,15
7,Horta-Guinardó,Comunitat de Madrid,32
7,Horta-Guinardó,Comunitat de Madrid,15
7,Horta-Guinardó,Comunitat de Madrid,11
7,Horta-Guinardó,Comunitat de Madrid,5
7,Horta-Guinardó,Comunitat de Madrid,6
7,Horta-Guinardó,Comunitat de Madrid,0
7,Horta-Guinardó,Comunitat de Madrid,23
7,Horta-Guinardó,Regió de Múrcia,10
7,Horta-Guinardó,Regió de Múrcia,5
7,Horta-Guinardó,Regió de Múrcia,6
7,Horta-Guinardó,Regió de Múrcia,1
7,Horta-Guinardó,Regió de Múrcia,8
7,Horta-Guinardó,Regió de Múrcia,4
7,Horta-Guinardó,Regió de Múrcia,1
7,Horta-Guinardó,Regió de Múrcia,3
7,Horta-Guinardó,Regió de Múrcia,1
7,Horta-Guinardó,Regió de Múrcia,0
7,Horta-Guinardó,Regió de Múrcia,6
7,Horta-Guinardó,Comunitat Foral de Navarra,2
7,Horta-Guinardó,Comunitat Foral de Navarra,3
7,Horta-Guinardó,Comunitat Foral de Navarra,4
7,Horta-Guinardó,Comunitat Foral de Navarra,3
7,Horta-Guinardó,Comunitat Foral de Navarra,0
7,Horta-Guinardó,Comunitat Foral de Navarra,1
7,Horta-Guinardó,Comunitat Foral de Navarra,1
7,Horta-Guinardó,Comunitat Foral de Navarra,1
7,Horta-Guinardó,Comunitat Foral de Navarra,1
7,Horta-Guinardó,Comunitat Foral de Navarra,0
7,Horta-Guinardó,Comunitat Foral de Navarra,4
7,Horta-Guinardó,Pais Basc,9
7,Horta-Guinardó,Pais Basc,2
7,Horta-Guinardó,Pais Basc,17
7,Horta-Guinardó,Pais Basc,3
7,Horta-Guinardó,Pais Basc,9
7,Horta-Guinardó,Pais Basc,2
7,Horta-Guinardó,Pais Basc,2
7,Horta-Guinardó,Pais Basc,2
7,Horta-Guinardó,Pais Basc,0
7,Horta-Guinardó,Pais Basc,1
7,Horta-Guinardó,Pais Basc,5
7,Horta-Guinardó,Rioja,1
7,Horta-Guinardó,Rioja,2
7,Horta-Guinardó,Rioja,1
7,Horta-Guinardó,Rioja,1
7,Horta-Guinardó,Rioja,1
7,Horta-Guinardó,Rioja,0
7,Horta-Guinardó,Rioja,1
7,Horta-Guinardó,Rioja,0
7,Horta-Guinardó,Rioja,0
7,Horta-Guinardó,Rioja,0
7,Horta-Guinardó,Rioja,3
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,1
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,0
7,Horta-Guinardó,Ceuta,4
7,Horta-Guinardó,Melilla,0
7,Horta-Guinardó,Melilla,0
7,Horta-Guinardó,Melilla,1
7,Horta-Guinardó,Melilla,0
7,Horta-Guinardó,Melilla,1
7,Horta-Guinardó,Melilla,0
7,Horta-Guinardó,Melilla,0
7,Horta-Guinardó,Melilla,0
7,Horta-Guinardó,Melilla,0
