Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Lloc_de_procedencia,Nombre
2018,5,Sarria-Sant Gervasi,23,Sarria,Principat d'Astúries,1
2018,5,Sarria-Sant Gervasi,24,les Tres Torres,Principat d'Astúries,1
2018,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Principat d'Astúries,2
2018,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Principat d'Astúries,5
2018,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Principat d'Astúries,6
2018,6,Gracia,28,Vallcarca i els Penitents,Principat d'Astúries,3
2018,6,Gracia,29,el Coll,Principat d'Astúries,0
2018,6,Gracia,30,la Salut,Principat d'Astúries,4
2018,6,Gracia,31,la Vila de Gracia,Principat d'Astúries,12
2018,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Principat d'Astúries,5
2018,7,Horta-Guinardó,33,el Baix Guinardó,Principat d'Astúries,0
2018,7,Horta-Guinardó,34,Can Baró,Principat d'Astúries,1
2018,7,Horta-Guinardó,35,el Guinardó,Principat d'Astúries,11
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Principat d'Astúries,0
2018,7,Horta-Guinardó,37,el Carmel,Principat d'Astúries,4
2018,7,Horta-Guinardó,38,la Teixonera,Principat d'Astúries,1
2018,7,Horta-Guinardó,39,Sant Genis dels Agudells,Principat d'Astúries,1
2018,7,Horta-Guinardó,40,Montbau,Principat d'Astúries,3
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Principat d'Astúries,0
2018,7,Horta-Guinardó,42,la Clota,Principat d'Astúries,0
2018,7,Horta-Guinardó,43,Horta,Principat d'Astúries,1
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Principat d'Astúries,2
2018,8,Nou Barris,45,Porta,Principat d'Astúries,5
2018,8,Nou Barris,46,el Turó de la Peira,Principat d'Astúries,1
2018,8,Nou Barris,47,Can Peguera,Principat d'Astúries,0
2018,8,Nou Barris,48,la Guineueta,Principat d'Astúries,0
2018,8,Nou Barris,49,Canyelles,Principat d'Astúries,0
2018,8,Nou Barris,50,les Roquetes,Principat d'Astúries,2
2018,8,Nou Barris,51,Verdun,Principat d'Astúries,7
2018,8,Nou Barris,52,la Prosperitat,Principat d'Astúries,5
2018,8,Nou Barris,53,la Trinitat Nova,Principat d'Astúries,1
2018,8,Nou Barris,54,Torre Baró,Principat d'Astúries,1
2018,8,Nou Barris,55,Ciutat Meridiana,Principat d'Astúries,0
2018,8,Nou Barris,56,Vallbona,Principat d'Astúries,0
2018,9,Sant Andreu,57,la Trinitat Vella,Principat d'Astúries,1
2018,9,Sant Andreu,58,Baró de Viver,Principat d'Astúries,0
2018,9,Sant Andreu,59,el Bon Pastor,Principat d'Astúries,2
2018,9,Sant Andreu,60,Sant Andreu,Principat d'Astúries,3
2018,9,Sant Andreu,61,la Sagrera,Principat d'Astúries,4
2018,9,Sant Andreu,62,el Congrés i els Indians,Principat d'Astúries,0
2018,9,Sant Andreu,63,Navas,Principat d'Astúries,7
2018,10,Sant Marti,64,el Camp de l'Arpa del Clot,Principat d'Astúries,12
2018,10,Sant Marti,65,el Clot,Principat d'Astúries,6
2018,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Principat d'Astúries,3
2018,10,Sant Marti,67,la Vila Olimpica del Poblenou,Principat d'Astúries,1
2018,10,Sant Marti,68,el Poblenou,Principat d'Astúries,4
2018,10,Sant Marti,69,Diagonal Mar i el Front Maritim del Poblenou,Principat d'Astúries,1
2018,10,Sant Marti,70,el Besòs i el Maresme,Principat d'Astúries,2
2018,10,Sant Marti,71,Provençals del Poblenou,Principat d'Astúries,2
2018,10,Sant Marti,72,Sant Marti de Provençals,Principat d'Astúries,4
2018,10,Sant Marti,73,la Verneda i la Pau,Principat d'Astúries,0
2018,1,Ciutat Vella,1,el Raval,Illes Balears,64
2018,1,Ciutat Vella,2,el Barri Gòtic,Illes Balears,27
2018,1,Ciutat Vella,3,la Barceloneta,Illes Balears,17
2018,1,Ciutat Vella,4,Sant Pere,Illes Balears,38
2018,2,Eixample,5,el Fort Pienc,Illes Balears,36
2018,2,Eixample,6,la Sagrada Familia,Illes Balears,50
2018,2,Eixample,7,la Dreta de l'Eixample,Illes Balears,55
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Illes Balears,53
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Illes Balears,52
2018,2,Eixample,10,Sant Antoni,Illes Balears,40
2018,3,Sants-Montjuic,11,el Poble Sec,Illes Balears,27
2018,3,Sants-Montjuic,12,la Marina del Prat Vermell,Illes Balears,2
2018,3,Sants-Montjuic,13,la Marina de Port,Illes Balears,16
2018,3,Sants-Montjuic,14,la Font de la Guatlla,Illes Balears,9
2018,3,Sants-Montjuic,15,Hostafrancs,Illes Balears,17
2018,3,Sants-Montjuic,16,la Bordeta,Illes Balears,13
2018,3,Sants-Montjuic,17,Sants - Badal,Illes Balears,16
2018,3,Sants-Montjuic,18,Sants,Illes Balears,36
2018,4,Les Corts,19,les Corts,Illes Balears,18
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Illes Balears,19
2018,4,Les Corts,21,Pedralbes,Illes Balears,15
2018,5,Sarria-Sant Gervasi,22,Vallvidrera,Illes Balears,3
2018,5,Sarria-Sant Gervasi,23,Sarria,Illes Balears,28
2018,5,Sarria-Sant Gervasi,24,les Tres Torres,Illes Balears,19
2018,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Illes Balears,39
2018,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Illes Balears,44
